mediapipe_connection,from_index,to_index,preferred_cm,AVG,CK-posing-with-fan-lengths,CK-walking-lengths,CK-upper-body-walking-lengths,CK-sitting-final-interview-lengths,notes
face_width,234,454,19.45,19.45,19.7,19.68,19.19,19.25,using full head/heal references or shoulder
shoulder_width,11,12,40.63,40.63,41.17,40.09,,,using full head/heal references only
left_forearm,11,13,37.61,222.58,29.85,30.37,607.53,,insufficient data
left_torso_lateral,11,23,66.25,62.89,64.36,61.43,69.95,,use right
right_forearm,12,14,37.61,37.61,37.61,24.62,,,use CK-standing-1-lengths
right_torso_lateral,12,24,66.25,66.25,68.03,64.48,,,
left_elbow_to_wrist,13,15,31.7,21.11,28.75,13.46,,,use right
right_elbow_to_wrist,14,16,31.7,31.7,31.7,16.87,,,use CK-standing-1-lengths
hip_width,23,24,22.17,22.17,22.51,21.83,,,
left_upper_leg,23,25,47.94,44.28,43.6,44.95,,,use right
right_upper_leg,24,26,47.94,47.94,48.39,47.49,,,
left_knee_to_ankle,25,27,37.78,25.03,29.85,20.21,,,use right
right_knee_to_ankle,26,28,37.78,37.78,36.24,39.32,,,
