mediapipe_connection,from_index,to_index,world_lms_est_m,manual_m,error_m
shoulder_width,11,12,0.2936,0.4063,-0.11
left_forearm,11,13,0.2119,0.3761,-0.16
left_torso_lateral,11,23,0.4820,0.6625,-0.18
right_forearm,12,14,0.3236,0.3761,-0.05
right_torso_lateral,12,24,0.5228,0.6625,-0.14
left_elbow_to_wrist,13,15,0.2270,0.317,-0.09
right_elbow_to_wrist,14,16,0.2579,0.317,-0.06
hip_width,23,24,0.2121,0.2217,-0.01
left_upper_leg,23,25,0.4016,0.4794,-0.08
right_upper_leg,24,26,0.3723,0.4794,-0.11
left_knee_to_ankle,25,27,0.3289,0.3778,-0.05
right_knee_to_ankle,26,28,0.3735,0.3778,-0.00
