mediapipe_connection,from_index,to_index,world_lms_est_m,manual_m,error_m
shoulder_width,11,12,0.3151,0.4063,-0.09
left_forearm,11,13,0.2509,0.3761,-0.13
left_torso_lateral,11,23,0.3760,0.6625,-0.29
right_forearm,12,14,0.3040,0.3761,-0.07
right_torso_lateral,12,24,0.4783,0.6625,-0.18
left_elbow_to_wrist,13,15,0.1445,0.317,-0.17
right_elbow_to_wrist,14,16,0.1784,0.317,-0.14
hip_width,23,24,0.2115,0.2217,-0.01
left_upper_leg,23,25,0.3645,0.4794,-0.11
right_upper_leg,24,26,0.1415,0.4794,-0.34
left_knee_to_ankle,25,27,0.3861,0.3778,0.01
right_knee_to_ankle,26,28,0.3458,0.3778,-0.03
