mediapipe_connection,from_index,to_index,world_lms_est_m,manual_m,error_m
shoulder_width,11,12,0.3214,0.4063,-0.08
left_forearm,11,13,0.2089,0.3761,-0.17
left_torso_lateral,11,23,0.4372,0.6625,-0.23
right_forearm,12,14,0.3382,0.3761,-0.04
right_torso_lateral,12,24,0.4797,0.6625,-0.18
left_elbow_to_wrist,13,15,0.1410,0.317,-0.18
right_elbow_to_wrist,14,16,0.2203,0.317,-0.10
hip_width,23,24,0.2291,0.2217,0.01
left_upper_leg,23,25,0.3921,0.4794,-0.09
right_upper_leg,24,26,0.3797,0.4794,-0.10
left_knee_to_ankle,25,27,0.3042,0.3778,-0.07
right_knee_to_ankle,26,28,0.4091,0.3778,0.03
