Index,Timestamp (s),Peak Frequency (Hz),Potential Event
1,0.0116,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
2,0.0232,129.20,LARGE EXPLOSION (Low Frequency)
3,0.0348,215.33,LARGE EXPLOSION (Low Frequency)
4,0.0464,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
5,0.0580,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
6,0.0697,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
7,0.0813,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
8,0.0929,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
9,0.1045,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
10,0.1161,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
11,0.1277,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
12,0.1393,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
13,0.1509,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
14,0.1625,215.33,LARGE EXPLOSION (Low Frequency)
15,0.1741,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
16,0.1858,215.33,LARGE EXPLOSION (Low Frequency)
17,0.1974,215.33,LARGE EXPLOSION (Low Frequency)
18,0.2090,215.33,LARGE EXPLOSION (Low Frequency)
19,0.2206,172.27,LARGE EXPLOSION (Low Frequency)
20,0.2322,215.33,LARGE EXPLOSION (Low Frequency)
21,0.2438,172.27,LARGE EXPLOSION (Low Frequency)
22,0.2554,172.27,LARGE EXPLOSION (Low Frequency)
23,0.2670,129.20,LARGE EXPLOSION (Low Frequency)
24,0.2786,301.46,LARGE EXPLOSION (Low Frequency)
25,0.2902,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
26,0.3019,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
27,0.3135,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
28,0.3251,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
29,0.3367,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
30,0.3483,172.27,LARGE EXPLOSION (Low Frequency)
31,0.3599,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
32,0.3715,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
33,0.3831,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
34,0.3947,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
35,0.4063,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
36,0.4180,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
37,0.4296,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
38,0.4412,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
39,0.4528,215.33,LARGE EXPLOSION (Low Frequency)
40,0.4644,258.40,LARGE EXPLOSION (Low Frequency)
41,0.4760,172.27,LARGE EXPLOSION (Low Frequency)
42,0.4876,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
43,0.4992,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
44,0.5108,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
45,0.5224,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
46,0.5341,129.20,LARGE EXPLOSION (Low Frequency)
47,0.5457,129.20,LARGE EXPLOSION (Low Frequency)
48,0.5573,430.66,Ambient/Speech
49,0.5689,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
50,0.5805,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
51,0.5921,129.20,LARGE EXPLOSION (Low Frequency)
52,0.6037,129.20,LARGE EXPLOSION (Low Frequency)
53,0.6153,172.27,LARGE EXPLOSION (Low Frequency)
54,0.6269,172.27,LARGE EXPLOSION (Low Frequency)
55,0.6385,215.33,LARGE EXPLOSION (Low Frequency)
56,0.6502,172.27,LARGE EXPLOSION (Low Frequency)
57,0.6618,215.33,LARGE EXPLOSION (Low Frequency)
58,0.6734,215.33,LARGE EXPLOSION (Low Frequency)
59,0.6850,258.40,LARGE EXPLOSION (Low Frequency)
60,0.6966,258.40,LARGE EXPLOSION (Low Frequency)
61,0.7082,258.40,LARGE EXPLOSION (Low Frequency)
62,0.7198,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
63,0.7314,258.40,LARGE EXPLOSION (Low Frequency)
64,0.7430,258.40,LARGE EXPLOSION (Low Frequency)
65,0.7546,258.40,LARGE EXPLOSION (Low Frequency)
66,0.7663,258.40,LARGE EXPLOSION (Low Frequency)
67,0.7779,258.40,LARGE EXPLOSION (Low Frequency)
68,0.7895,215.33,LARGE EXPLOSION (Low Frequency)
69,0.8011,258.40,LARGE EXPLOSION (Low Frequency)
70,0.8127,473.73,Ambient/Speech
71,0.8243,301.46,LARGE EXPLOSION (Low Frequency)
72,0.8359,215.33,LARGE EXPLOSION (Low Frequency)
73,0.8475,3186.91,Ambient/Speech
74,0.8591,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
75,0.8707,0.00,FIREWORK/MORTAR (Sub-Bass Thump)
76,0.8824,0.00,FIREWORK/MORTAR (Sub-Bass Thump)
77,0.8940,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
78,0.9056,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
79,0.9172,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
80,0.9288,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
81,0.9404,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
82,0.9520,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
83,0.9636,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
84,0.9752,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
85,0.9868,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
86,0.9985,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
87,1.0101,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
88,1.0217,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
89,1.0333,344.53,LARGE EXPLOSION (Low Frequency)
90,1.0449,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
91,1.0565,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
92,1.0681,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
93,1.0797,172.27,LARGE EXPLOSION (Low Frequency)
94,1.0913,172.27,LARGE EXPLOSION (Low Frequency)
95,1.1029,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
96,1.1146,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
97,1.1262,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
98,1.1378,215.33,LARGE EXPLOSION (Low Frequency)
99,1.1494,301.46,LARGE EXPLOSION (Low Frequency)
100,1.1610,172.27,LARGE EXPLOSION (Low Frequency)
101,1.1726,215.33,LARGE EXPLOSION (Low Frequency)
102,1.1842,215.33,LARGE EXPLOSION (Low Frequency)
103,1.1958,215.33,LARGE EXPLOSION (Low Frequency)
104,1.2074,215.33,LARGE EXPLOSION (Low Frequency)
105,1.2190,258.40,LARGE EXPLOSION (Low Frequency)
106,1.2307,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
107,1.2423,1205.86,GUNSHOT (9mm/Rifle Spectral Peak)
108,1.2539,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
109,1.2655,172.27,LARGE EXPLOSION (Low Frequency)
110,1.2771,215.33,LARGE EXPLOSION (Low Frequency)
111,1.2887,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
112,1.3003,258.40,LARGE EXPLOSION (Low Frequency)
113,1.3119,344.53,LARGE EXPLOSION (Low Frequency)
114,1.3235,301.46,LARGE EXPLOSION (Low Frequency)
115,1.3351,215.33,LARGE EXPLOSION (Low Frequency)
116,1.3468,301.46,LARGE EXPLOSION (Low Frequency)
117,1.3584,301.46,LARGE EXPLOSION (Low Frequency)
118,1.3700,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
119,1.3816,129.20,LARGE EXPLOSION (Low Frequency)
120,1.3932,172.27,LARGE EXPLOSION (Low Frequency)
121,1.4048,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
122,1.4164,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
123,1.4280,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
124,1.4396,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
125,1.4512,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
126,1.4629,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
127,1.4745,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
128,1.4861,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
129,1.4977,947.46,GUNSHOT (9mm/Rifle Spectral Peak)
130,1.5093,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
131,1.5209,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
132,1.5325,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
133,1.5441,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
134,1.5557,301.46,LARGE EXPLOSION (Low Frequency)
135,1.5673,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
136,1.5790,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
137,1.5906,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
138,1.6022,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
139,1.6138,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
140,1.6254,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
141,1.6370,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
142,1.6486,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
143,1.6602,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
144,1.6718,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
145,1.6834,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
146,1.6951,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
147,1.7067,301.46,LARGE EXPLOSION (Low Frequency)
148,1.7183,258.40,LARGE EXPLOSION (Low Frequency)
149,1.7299,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
150,1.7415,344.53,LARGE EXPLOSION (Low Frequency)
151,1.7531,215.33,LARGE EXPLOSION (Low Frequency)
152,1.7647,344.53,LARGE EXPLOSION (Low Frequency)
153,1.7763,344.53,LARGE EXPLOSION (Low Frequency)
154,1.7879,301.46,LARGE EXPLOSION (Low Frequency)
155,1.7995,344.53,LARGE EXPLOSION (Low Frequency)
156,1.8112,258.40,LARGE EXPLOSION (Low Frequency)
157,1.8228,344.53,LARGE EXPLOSION (Low Frequency)
158,1.8344,301.46,LARGE EXPLOSION (Low Frequency)
159,1.8460,473.73,Ambient/Speech
160,1.8576,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
161,1.8692,258.40,LARGE EXPLOSION (Low Frequency)
162,1.8808,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
163,1.8924,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
164,1.9040,344.53,LARGE EXPLOSION (Low Frequency)
165,1.9156,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
166,1.9273,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
167,1.9389,387.60,LARGE EXPLOSION (Low Frequency)
168,1.9505,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
169,1.9621,301.46,LARGE EXPLOSION (Low Frequency)
170,1.9737,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
171,1.9853,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
