Key_Event#,Motion_Ref,V_Time,Offset(ms),Onset_V_Time,Vel_mps,Accel_mps2,Jerk_mps3,Nature,Tag,Origin
0,4,1.0,133.33,0.9773,1.95,44.41,1850.99,Impulse/Electrical Discharge Case,TDOA_SYNC_PRIORITY_2,SW (227°)
1,8,1.134,266.67,1.062,3.37,43.69,689.35,Aggressive Voluntary/Reflexive Movement,REFLEX_ONSET,W (258°)
2,13,1.3,433.33,1.2221,5.93,102.8,2741.16,Kinetic Strike/Secondary Force (10.5G),TDOA_SYNC_PRIORITY_1,SW (241°)
3,27,1.767,900.0,1.6949,1.69,16.22,231.75,Minor Kinetic Deviation,LOW_CONFIDENCE,NW (334°)
4,48,2.467,1600.0,2.4461,1.41,16.27,675.51,Minor Kinetic Deviation,LOW_CONFIDENCE,SW (225°)
5,53,2.634,1766.67,2.6123,1.51,15.41,630.94,Minor Kinetic Deviation,LOW_CONFIDENCE,E (96°)
6,55,2.7,1833.33,2.6728,2.0,15.69,498.81,Minor Kinetic Deviation,LOW_CONFIDENCE,SE (132°)
7,60,2.867,2000.0,2.8051,2.84,35.29,506.49,Aggressive Voluntary/Reflexive Movement,REFLEX_ONSET,SE (131°)
8,63,2.967,2100.0,2.9428,3.53,54.62,2156.46,Kinetic Strike/Secondary Force (5.6G),TDOA_SYNC_PRIORITY_1,S (180°)
9,65,3.034,2166.67,3.0228,1.84,54.68,4799.35,Kinetic Strike/Secondary Force (5.6G),TDOA_SYNC_PRIORITY_1,S (201°)
10,67,3.1,2233.33,3.086,1.76,19.51,1242.33,Minor Kinetic Deviation,LOW_CONFIDENCE,N (338°)
