Motion_Ref,V_Time,Offset(ms),Vel_mps,Accel_mps2,Jerk_mps3,Origin
1,0.9,33.33,3.55,106.38,3191.49,E (100°)
2,0.934,66.67,2.64,-27.24,-4008.66,E (96°)
3,0.967,100.0,1.18,-43.78,-496.19,SE (156°)
4,1.0,133.33,4.93,112.41,4685.64,SW (227°)
5,1.034,166.67,2.46,-74.05,-5593.79,W (254°)
6,1.067,200.0,3.09,19.12,2795.23,N/A
7,1.1,233.33,4.84,52.43,999.15,N (9°)
8,1.134,266.67,8.53,110.6,1745.04,W (258°)
9,1.167,300.0,7.29,-37.04,-4429.17,N (341°)
10,1.2,333.33,2.56,-142.01,-3148.9,W (284°)
11,1.234,366.67,5.38,84.72,6801.81,NW (307°)
12,1.267,400.0,6.35,28.93,-1673.72,E (71°)
13,1.3,433.33,15.02,260.23,6939.04,SW (241°)
14,1.334,466.67,14.65,-11.34,-8147.06,W (259°)
15,1.367,500.0,8.59,-181.56,-5106.75,W (292°)
16,1.4,533.33,5.41,-95.65,2577.31,N (338°)
17,1.434,566.67,4.17,-37.18,1754.18,NW (318°)
18,1.467,600.0,5.3,33.98,2134.74,NE (25°)
19,1.5,633.33,3.31,-59.61,-2807.58,NE (49°)
20,1.534,666.67,4.11,23.98,2507.65,NE (36°)
21,1.567,700.0,3.22,-26.71,-1520.63,NE (39°)
22,1.6,733.33,2.63,-17.75,268.77,NE (35°)
23,1.634,766.67,2.69,1.73,584.19,NW (319°)
24,1.667,800.0,1.85,-25.2,-807.81,N/A
25,1.7,833.33,2.2,10.63,1074.95,N (340°)
26,1.734,866.67,2.92,21.51,326.47,NW (313°)
27,1.767,900.0,4.29,41.07,586.66,NW (334°)
28,1.8,933.33,4.02,-8.01,-1472.43,N (353°)
29,1.834,966.67,2.49,-45.99,-1139.23,NW (337°)
30,1.867,1000.0,3.67,35.38,2441.1,N (344°)
31,1.9,1033.33,2.35,-39.64,-2250.77,S (178°)
32,1.934,1066.67,2.2,-4.34,1059.06,N/A
33,1.967,1100.0,2.13,-2.1,67.24,NW (306°)
34,2.0,1133.33,2.78,19.44,646.28,NW (293°)
35,2.034,1166.67,3.38,18.12,-39.71,W (285°)
36,2.067,1200.0,3.39,0.24,-536.49,NW (308°)
37,2.1,1233.33,3.02,-11.26,-344.93,NW (308°)
38,2.134,1266.67,2.86,-4.81,193.47,NW (313°)
39,2.167,1300.0,2.21,-19.39,-437.42,NW (304°)
40,2.2,1333.33,2.8,17.74,1113.86,W (292°)
41,2.234,1366.67,2.55,-7.64,-761.22,W (263°)
42,2.267,1400.0,2.78,6.9,436.11,NW (297°)
43,2.3,1433.33,2.54,-6.98,-416.3,SW (238°)
44,2.334,1466.67,3.49,28.26,1057.13,W (248°)
45,2.367,1500.0,4.15,19.8,-253.93,W (261°)
46,2.4,1533.33,2.72,-42.9,-1880.9,W (248°)
47,2.434,1566.67,2.19,-15.82,812.45,SW (221°)
48,2.467,1600.0,3.56,41.18,1710.0,SW (225°)
49,2.5,1633.33,1.78,-53.51,-2840.78,S (164°)
50,2.534,1666.67,2.69,27.25,2422.96,SE (122°)
51,2.567,1700.0,2.99,9.22,-540.92,SE (131°)
52,2.6,1733.33,2.52,-14.24,-703.81,SE (141°)
53,2.634,1766.67,3.82,39.0,1597.19,E (96°)
54,2.667,1800.0,3.74,-2.36,-1240.98,SE (131°)
55,2.7,1833.33,5.06,39.73,1262.7,SE (132°)
56,2.734,1866.67,6.14,32.37,-220.81,SE (136°)
57,2.767,1900.0,2.73,-102.32,-4040.59,S (162°)
58,2.8,1933.33,2.66,-2.27,3001.42,E (110°)
59,2.834,1966.67,4.21,46.61,1466.37,SE (137°)
60,2.867,2000.0,7.19,89.34,1282.14,SE (131°)
61,2.9,2033.33,5.78,-42.11,-3943.75,N (16°)
62,2.934,2066.67,4.33,-43.7,-47.65,S (177°)
63,2.967,2100.0,8.94,138.26,5458.92,S (180°)
64,3.0,2133.33,0.05,-266.56,-12144.53,W (264°)
65,3.034,2166.67,4.66,138.42,12149.2,S (201°)
66,3.067,2200.0,2.82,-55.44,-5815.81,S (166°)
67,3.1,2233.33,4.46,49.39,3144.87,N (338°)
68,3.134,2266.67,5.02,16.59,-983.86,E (68°)
69,3.167,2300.0,5.37,10.78,-174.43,SE (132°)
70,3.2,2333.33,5.8,12.72,58.35,E (73°)
71,3.234,2366.67,19.24,403.16,11713.33,N (353°)
