FrameIndex,Timestamp,MotionMetric,Threshold,Status
15,0.500000,3.127371,11.044759,STABLE
16,0.533000,3.800195,11.044759,STABLE
17,0.567000,2.868836,11.044759,STABLE
18,0.600000,1.665965,11.044759,STABLE
19,0.633000,3.231421,11.044759,STABLE
20,0.667000,0.001586,11.044759,STABLE
21,0.700000,1.074298,11.044759,STABLE
22,0.733000,2.916995,11.044759,STABLE
23,0.767000,0.003735,11.044759,STABLE
24,0.800000,4.361578,11.044759,STABLE
25,0.833000,0.003041,11.044759,STABLE
26,0.867000,2.076575,11.044759,STABLE
27,0.900000,0.897609,11.044759,STABLE
28,0.933000,0.507605,11.044759,STABLE
29,0.967000,12.344831,11.044759,DEVIATION_DETECTED
30,1.000000,6.421370,11.044759,STABLE
31,1.033000,9.897811,11.044759,STABLE
32,1.067000,11.977600,11.044759,DEVIATION_DETECTED
33,1.100000,15.699114,11.044759,DEVIATION_DETECTED
34,1.133000,12.689017,11.044759,DEVIATION_DETECTED
35,1.167000,9.142685,11.044759,STABLE
36,1.200000,8.505435,11.044759,STABLE
37,1.233000,7.530118,11.044759,STABLE
38,1.267000,14.918163,11.044759,DEVIATION_DETECTED
39,1.300000,18.812845,11.044759,DEVIATION_DETECTED
40,1.333000,11.168832,11.044759,DEVIATION_DETECTED
41,1.367000,7.528182,11.044759,STABLE
42,1.400000,4.335780,11.044759,STABLE
43,1.433000,4.002197,11.044759,STABLE
