event_id,frame,landmark_index,x_px,y_px
0,baseline,0,141,90
0,baseline,1,146,75
0,baseline,2,151,75
0,baseline,3,156,75
0,baseline,4,129,76
0,baseline,5,121,76
0,baseline,6,114,76
0,baseline,7,162,90
0,baseline,8,84,90
0,baseline,9,148,108
0,baseline,10,125,107
0,baseline,11,203,188
0,baseline,12,35,184
0,baseline,13,211,335
0,baseline,14,44,330
0,baseline,15,174,405
0,baseline,16,123,400
0,baseline,17,188,437
0,baseline,18,124,435
0,baseline,19,168,455
0,baseline,20,148,445
0,baseline,21,158,435
0,baseline,22,174,422
0,baseline,23,168,397
0,baseline,24,71,394
0,baseline,25,314,428
0,baseline,26,46,380
0,baseline,27,245,516
0,baseline,28,55,518
0,baseline,29,-1,-1
0,baseline,30,-1,-1
0,baseline,31,-1,-1
0,baseline,32,-1,-1
0,onset,0,134,114
0,onset,1,142,96
0,onset,2,149,97
0,onset,3,155,97
0,onset,4,127,93
0,onset,5,121,92
0,onset,6,112,90
0,onset,7,162,108
0,onset,8,82,92
0,onset,9,141,127
0,onset,10,115,122
0,onset,11,195,183
0,onset,12,34,181
0,onset,13,207,316
0,onset,14,45,325
0,onset,15,174,405
0,onset,16,123,400
0,onset,17,187,434
0,onset,18,120,434
0,onset,19,168,455
0,onset,20,149,439
0,onset,21,158,431
0,onset,22,166,416
0,onset,23,167,396
0,onset,24,73,394
0,onset,25,310,428
0,onset,26,46,380
0,onset,27,245,516
0,onset,28,55,518
0,onset,29,-1,-1
0,onset,30,-1,-1
0,onset,31,-1,-1
0,onset,32,-1,-1
0,peak,0,134,112
0,peak,1,142,96
0,peak,2,150,97
0,peak,3,156,99
0,peak,4,129,96
0,peak,5,122,93
0,peak,6,114,90
0,peak,7,163,107
0,peak,8,85,94
0,peak,9,142,129
0,peak,10,116,123
0,peak,11,193,182
0,peak,12,34,177
0,peak,13,213,329
0,peak,14,43,317
0,peak,15,184,385
0,peak,16,119,391
0,peak,17,187,421
0,peak,18,126,425
0,peak,19,166,438
0,peak,20,150,421
0,peak,21,158,415
0,peak,22,170,409
0,peak,23,167,396
0,peak,24,74,393
0,peak,25,301,428
0,peak,26,57,377
0,peak,27,247,517
0,peak,28,69,517
0,peak,29,-1,-1
0,peak,30,-1,-1
0,peak,31,-1,-1
0,peak,32,-1,-1
1,baseline,0,130,107
1,baseline,1,139,91
1,baseline,2,145,93
1,baseline,3,155,94
1,baseline,4,125,89
1,baseline,5,119,88
1,baseline,6,110,85
1,baseline,7,162,104
1,baseline,8,84,90
1,baseline,9,144,124
1,baseline,10,111,118
1,baseline,11,192,179
1,baseline,12,34,172
1,baseline,13,219,307
1,baseline,14,40,306
1,baseline,15,187,383
1,baseline,16,117,378
1,baseline,17,194,408
1,baseline,18,128,410
1,baseline,19,174,411
1,baseline,20,151,399
1,baseline,21,160,400
1,baseline,22,169,400
1,baseline,23,166,390
1,baseline,24,74,384
1,baseline,25,291,404
1,baseline,26,58,371
1,baseline,27,247,517
1,baseline,28,62,517
1,baseline,29,-1,-1
1,baseline,30,-1,-1
1,baseline,31,-1,-1
1,baseline,32,-1,-1
1,onset,0,132,97
1,onset,1,138,80
1,onset,2,146,82
1,onset,3,153,85
1,onset,4,126,79
1,onset,5,118,79
