event_id,frame,landmark_index,x_px,y_px
0,baseline,0,141,90
0,baseline,1,146,75
0,baseline,2,151,75
0,baseline,3,156,75
0,baseline,4,129,76
0,baseline,5,121,76
0,baseline,6,114,76
0,baseline,7,154,84
0,baseline,8,96,83
0,baseline,9,149,105
0,baseline,10,130,107
0,baseline,11,203,188
0,baseline,12,35,184
0,baseline,13,211,321
0,baseline,14,31,319
0,baseline,15,181,404
0,baseline,16,119,393
0,baseline,17,177,438
0,baseline,18,135,432
0,baseline,19,167,427
0,baseline,20,154,419
0,baseline,21,164,414
0,baseline,22,153,409
0,baseline,23,168,397
0,baseline,24,71,394
0,baseline,25,314,428
0,baseline,26,6,408
0,baseline,27,112,475
0,baseline,28,125,512
0,baseline,29,95,476
0,baseline,30,136,514
0,baseline,31,37,478
0,baseline,32,184,515
0,onset,0,141,106
0,onset,1,146,87
0,onset,2,151,87
0,onset,3,157,87
0,onset,4,129,85
0,onset,5,122,84
0,onset,6,114,82
0,onset,7,153,92
0,onset,8,96,85
0,onset,9,146,121
0,onset,10,126,117
0,onset,11,195,183
0,onset,12,34,181
0,onset,13,209,308
0,onset,14,33,313
0,onset,15,182,400
0,onset,16,119,393
0,onset,17,178,434
0,onset,18,131,432
0,onset,19,168,423
0,onset,20,152,418
0,onset,21,165,411
0,onset,22,153,408
0,onset,23,167,396
0,onset,24,73,394
0,onset,25,310,428
0,onset,26,38,391
0,onset,27,115,482
0,onset,28,113,526
0,onset,29,91,453
0,onset,30,117,526
0,onset,31,42,479
0,onset,32,148,520
0,peak,0,141,109
0,peak,1,146,91
0,peak,2,151,91
0,peak,3,157,91
0,peak,4,130,89
0,peak,5,122,87
0,peak,6,114,86
0,peak,7,154,96
0,peak,8,96,87
0,peak,9,146,125
0,peak,10,125,121
0,peak,11,193,182
0,peak,12,34,177
0,peak,13,209,303
0,peak,14,33,305
0,peak,15,184,399
0,peak,16,119,391
0,peak,17,183,429
0,peak,18,126,428
0,peak,19,168,415
0,peak,20,151,416
0,peak,21,166,404
0,peak,22,152,405
0,peak,23,167,396
0,peak,24,74,393
0,peak,25,301,428
0,peak,26,80,382
0,peak,27,137,481
0,peak,28,95,511
0,peak,29,104,453
0,peak,30,93,524
0,peak,31,83,497
0,peak,32,114,540
1,baseline,0,139,108
1,baseline,1,146,91
1,baseline,2,151,91
1,baseline,3,157,91
1,baseline,4,129,89
1,baseline,5,121,87
1,baseline,6,113,85
1,baseline,7,154,96
1,baseline,8,96,87
1,baseline,9,144,124
1,baseline,10,122,119
1,baseline,11,192,179
1,baseline,12,34,172
1,baseline,13,212,296
1,baseline,14,33,295
1,baseline,15,187,383
1,baseline,16,117,378
1,baseline,17,187,416
1,baseline,18,127,414
1,baseline,19,170,406
1,baseline,20,151,404
1,baseline,21,166,396
1,baseline,22,150,394
1,baseline,23,166,390
1,baseline,24,74,384
1,baseline,25,287,423
1,baseline,26,74,393
1,baseline,27,162,492
1,baseline,28,78,515
1,baseline,29,138,495
1,baseline,30,78,527
1,baseline,31,133,531
1,baseline,32,87,551
1,onset,0,138,104
1,onset,1,145,88
1,onset,2,150,88
1,onset,3,156,88
1,onset,4,127,86
1,onset,5,120,84
1,onset,6,112,83
1,onset,7,154,94
1,onset,8,95,85
