Connection,from_index,to_index,est_meters,manual_cm,error_cm
shoulder_width,11,12,0.2998,40.63,-10.65
left_forearm,11,13,0.2123,37.61,-16.38
left_torso_lateral,11,23,0.4502,66.25,-21.23
right_forearm,12,14,0.2934,37.61,-8.27
right_torso_lateral,12,24,0.4696,66.25,-19.29
left_elbow_to_wrist,13,15,0.1852,31.7,-13.18
right_elbow_to_wrist,14,16,0.2037,31.7,-11.33
hip_width,23,24,0.2274,22.17,0.57
left_upper_leg,23,25,0.3381,47.94,-14.13
right_upper_leg,24,26,0.2980,47.94,-18.14
left_knee_to_ankle,25,27,0.3653,37.78,-1.25
right_knee_to_ankle,26,28,0.3333,37.78,-4.45
