FrameIndex,Timestamp,MotionMetric,Threshold,Status
18,0.600000,1.913880,11.407120,STABLE
19,0.633333,3.782772,11.407120,STABLE
20,0.666667,0.001689,11.407120,STABLE
21,0.700000,1.198868,11.407120,STABLE
22,0.733333,3.210720,11.407120,STABLE
23,0.766667,0.006248,11.407120,STABLE
24,0.800000,4.775666,11.407120,STABLE
25,0.833333,0.008705,11.407120,STABLE
26,0.866667,2.169986,11.407120,STABLE
27,0.900000,0.986852,11.407120,STABLE
28,0.933333,0.431834,11.407120,STABLE
29,0.966667,14.373888,11.407120,DEVIATION_DETECTED
30,1.000000,7.927633,11.407120,STABLE
31,1.033333,8.215704,11.407120,STABLE
32,1.066667,9.644194,11.407120,STABLE
33,1.100000,16.635939,11.407120,DEVIATION_DETECTED
34,1.133333,13.131363,11.407120,DEVIATION_DETECTED
35,1.166667,10.060850,11.407120,STABLE
36,1.200000,9.018054,11.407120,STABLE
37,1.233333,7.738431,11.407120,STABLE
38,1.266667,16.557224,11.407120,DEVIATION_DETECTED
39,1.300000,20.551327,11.407120,DEVIATION_DETECTED
40,1.333333,11.851225,11.407120,DEVIATION_DETECTED
41,1.366667,8.255599,11.407120,STABLE
42,1.400000,4.713407,11.407120,STABLE
43,1.433333,4.402250,11.407120,STABLE
