FrameIndex,Timestamp,MotionMetric,Threshold,Status
18,0.600000,1.665965,10.249804,STABLE
19,0.633000,3.231421,10.249804,STABLE
20,0.667000,0.001586,10.249804,STABLE
21,0.700000,1.074298,10.249804,STABLE
22,0.733000,2.916995,10.249804,STABLE
23,0.767000,0.003735,10.249804,STABLE
24,0.800000,4.361578,10.249804,STABLE
25,0.833000,0.003041,10.249804,STABLE
26,0.867000,2.076575,10.249804,STABLE
27,0.900000,0.897609,10.249804,STABLE
28,0.933000,0.507605,10.249804,STABLE
29,0.967000,12.344831,10.249804,DEVIATION_DETECTED
30,1.000000,6.421370,10.249804,STABLE
31,1.033000,9.897811,10.249804,STABLE
32,1.067000,11.977600,10.249804,DEVIATION_DETECTED
33,1.100000,15.699114,10.249804,DEVIATION_DETECTED
34,1.133000,12.689017,10.249804,DEVIATION_DETECTED
35,1.167000,9.142685,10.249804,STABLE
36,1.200000,8.505435,10.249804,STABLE
37,1.233000,7.530118,10.249804,STABLE
38,1.267000,14.918163,10.249804,DEVIATION_DETECTED
39,1.300000,18.812845,10.249804,DEVIATION_DETECTED
40,1.333000,11.168832,10.249804,DEVIATION_DETECTED
41,1.367000,7.528182,10.249804,STABLE
42,1.400000,4.335780,10.249804,STABLE
43,1.433000,4.002197,10.249804,STABLE
