Offset(ms),Vel,Accel,Jerk,Curl,Type,Origin
0.0,6.98,209.36,6280.75,0.0367,KINETIC,West (Behind)
33.33,3.48,-104.91,-9428.06,-0.0248,,West (Behind)
66.67,4.38,27.09,3960.12,0.0743,,N/A
100.0,6.86,74.28,1415.54,-0.0544,,South
133.33,12.08,156.69,2472.28,-0.005,,West (Behind)
166.67,10.33,-52.48,-6275.0,0.072,,South
200.0,3.63,-201.18,-4461.17,0.0257,,West (Behind)
233.33,7.63,120.03,9636.4,-0.0351,,South
266.67,9.0,40.99,-2371.22,0.0111,,East (Front)
300.0,21.28,368.68,9830.83,-0.0161,KINETIC,West (Behind)
333.33,20.75,-16.06,-11542.28,0.0918,,West (Behind)
366.67,12.18,-257.23,-7234.95,0.0409,,West (Behind)
400.0,7.66,-135.51,3651.38,-0.1218,,South
433.33,5.9,-52.67,2485.22,-0.067,,South
466.67,7.51,48.14,3024.38,-0.0784,,South
