Index,Timestamp (s),Peak Frequency (Hz),Potential Event
1,0.0116,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
2,0.0232,129.20,LARGE EXPLOSION (Low Frequency)
3,0.0348,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
4,0.0464,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
5,0.0580,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
6,0.0697,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
7,0.0813,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
8,0.0929,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
9,0.1045,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
10,0.1161,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
11,0.1277,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
12,0.1393,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
13,0.1509,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
14,0.1625,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
15,0.1741,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
16,0.1858,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
17,0.1974,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
18,0.2090,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
19,0.2206,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
20,0.2322,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
21,0.2438,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
22,0.2554,215.33,LARGE EXPLOSION (Low Frequency)
23,0.2670,172.27,LARGE EXPLOSION (Low Frequency)
24,0.2786,258.40,LARGE EXPLOSION (Low Frequency)
25,0.2902,172.27,LARGE EXPLOSION (Low Frequency)
26,0.3019,215.33,LARGE EXPLOSION (Low Frequency)
27,0.3135,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
28,0.3251,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
29,0.3367,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
30,0.3483,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
31,0.3599,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
32,0.3715,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
33,0.3831,172.27,LARGE EXPLOSION (Low Frequency)
34,0.3947,215.33,LARGE EXPLOSION (Low Frequency)
35,0.4063,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
36,0.4180,129.20,LARGE EXPLOSION (Low Frequency)
37,0.4296,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
38,0.4412,129.20,LARGE EXPLOSION (Low Frequency)
39,0.4528,172.27,LARGE EXPLOSION (Low Frequency)
40,0.4644,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
41,0.4760,129.20,LARGE EXPLOSION (Low Frequency)
42,0.4876,172.27,LARGE EXPLOSION (Low Frequency)
43,0.4992,129.20,LARGE EXPLOSION (Low Frequency)
44,0.5108,129.20,LARGE EXPLOSION (Low Frequency)
45,0.5224,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
46,0.5341,129.20,LARGE EXPLOSION (Low Frequency)
47,0.5457,129.20,LARGE EXPLOSION (Low Frequency)
48,0.5573,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
49,0.5689,172.27,LARGE EXPLOSION (Low Frequency)
50,0.5805,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
51,0.5921,129.20,LARGE EXPLOSION (Low Frequency)
52,0.6037,215.33,LARGE EXPLOSION (Low Frequency)
53,0.6153,215.33,LARGE EXPLOSION (Low Frequency)
54,0.6269,258.40,LARGE EXPLOSION (Low Frequency)
55,0.6385,215.33,LARGE EXPLOSION (Low Frequency)
56,0.6502,258.40,LARGE EXPLOSION (Low Frequency)
57,0.6618,258.40,LARGE EXPLOSION (Low Frequency)
58,0.6734,258.40,LARGE EXPLOSION (Low Frequency)
59,0.6850,258.40,LARGE EXPLOSION (Low Frequency)
60,0.6966,258.40,LARGE EXPLOSION (Low Frequency)
61,0.7082,258.40,LARGE EXPLOSION (Low Frequency)
62,0.7198,258.40,LARGE EXPLOSION (Low Frequency)
63,0.7314,215.33,LARGE EXPLOSION (Low Frequency)
64,0.7430,430.66,Ambient/Speech
65,0.7546,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
66,0.7663,258.40,LARGE EXPLOSION (Low Frequency)
67,0.7779,172.27,LARGE EXPLOSION (Low Frequency)
68,0.7895,430.66,Ambient/Speech
69,0.8011,430.66,Ambient/Speech
70,0.8127,172.27,LARGE EXPLOSION (Low Frequency)
71,0.8243,473.73,Ambient/Speech
72,0.8359,129.20,LARGE EXPLOSION (Low Frequency)
73,0.8475,4952.64,SHARP CRACK/ASPIRATION (High Frequency)
74,0.8591,4952.64,SHARP CRACK/ASPIRATION (High Frequency)
75,0.8707,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
76,0.8824,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
77,0.8940,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
78,0.9056,129.20,LARGE EXPLOSION (Low Frequency)
79,0.9172,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
80,0.9288,0.00,FIREWORK/MORTAR (Sub-Bass Thump)
81,0.9404,129.20,LARGE EXPLOSION (Low Frequency)
82,0.9520,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
83,0.9636,129.20,LARGE EXPLOSION (Low Frequency)
84,0.9752,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
85,0.9868,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
86,0.9985,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
87,1.0101,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
88,1.0217,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
89,1.0333,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
90,1.0449,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
91,1.0565,0.00,FIREWORK/MORTAR (Sub-Bass Thump)
92,1.0681,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
93,1.0797,172.27,LARGE EXPLOSION (Low Frequency)
94,1.0913,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
95,1.1029,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
96,1.1146,258.40,LARGE EXPLOSION (Low Frequency)
97,1.1262,172.27,LARGE EXPLOSION (Low Frequency)
98,1.1378,301.46,LARGE EXPLOSION (Low Frequency)
99,1.1494,172.27,LARGE EXPLOSION (Low Frequency)
100,1.1610,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
101,1.1726,215.33,LARGE EXPLOSION (Low Frequency)
102,1.1842,172.27,LARGE EXPLOSION (Low Frequency)
103,1.1958,215.33,LARGE EXPLOSION (Low Frequency)
104,1.2074,215.33,LARGE EXPLOSION (Low Frequency)
105,1.2190,215.33,LARGE EXPLOSION (Low Frequency)
106,1.2307,172.27,LARGE EXPLOSION (Low Frequency)
107,1.2423,473.73,Ambient/Speech
108,1.2539,215.33,LARGE EXPLOSION (Low Frequency)
109,1.2655,215.33,LARGE EXPLOSION (Low Frequency)
110,1.2771,172.27,LARGE EXPLOSION (Low Frequency)
111,1.2887,215.33,LARGE EXPLOSION (Low Frequency)
112,1.3003,172.27,LARGE EXPLOSION (Low Frequency)
113,1.3119,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
114,1.3235,172.27,LARGE EXPLOSION (Low Frequency)
115,1.3351,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
116,1.3468,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
117,1.3584,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
118,1.3700,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
119,1.3816,258.40,LARGE EXPLOSION (Low Frequency)
120,1.3932,172.27,LARGE EXPLOSION (Low Frequency)
121,1.4048,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
122,1.4164,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
123,1.4280,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
124,1.4396,904.39,GUNSHOT (9mm/Rifle Spectral Peak)
125,1.4512,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
126,1.4629,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
127,1.4745,559.86,GUNSHOT (9mm/Rifle Spectral Peak)
128,1.4861,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
129,1.4977,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
130,1.5093,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
131,1.5209,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
132,1.5325,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
133,1.5441,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
134,1.5557,1162.79,GUNSHOT (9mm/Rifle Spectral Peak)
135,1.5673,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
136,1.5790,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
137,1.5906,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
138,1.6022,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
139,1.6138,1248.93,GUNSHOT (9mm/Rifle Spectral Peak)
140,1.6254,602.93,GUNSHOT (9mm/Rifle Spectral Peak)
141,1.6370,1205.86,GUNSHOT (9mm/Rifle Spectral Peak)
142,1.6486,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
143,1.6602,1205.86,GUNSHOT (9mm/Rifle Spectral Peak)
144,1.6718,215.33,LARGE EXPLOSION (Low Frequency)
145,1.6834,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
146,1.6951,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
147,1.7067,129.20,LARGE EXPLOSION (Low Frequency)
148,1.7183,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
149,1.7299,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
150,1.7415,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
151,1.7531,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
152,1.7647,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
153,1.7763,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
154,1.7879,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
155,1.7995,861.33,GUNSHOT (9mm/Rifle Spectral Peak)
156,1.8112,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
157,1.8228,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
158,1.8344,818.26,GUNSHOT (9mm/Rifle Spectral Peak)
159,1.8460,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
160,1.8576,387.60,LARGE EXPLOSION (Low Frequency)
161,1.8692,387.60,LARGE EXPLOSION (Low Frequency)
162,1.8808,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
163,1.8924,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
164,1.9040,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
165,1.9156,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
166,1.9273,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
167,1.9389,516.80,GUNSHOT (9mm/Rifle Spectral Peak)
168,1.9505,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
169,1.9621,775.20,GUNSHOT (9mm/Rifle Spectral Peak)
170,1.9737,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
171,1.9853,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
