Index,Timestamp (s),Peak Frequency (Hz),Potential Event
1,0.0116,301.46,LARGE EXPLOSION (Low Frequency)
2,0.0232,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
3,0.0348,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
4,0.0464,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
5,0.0580,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
6,0.0697,646.00,GUNSHOT (9mm/Rifle Spectral Peak)
7,0.0813,1033.59,GUNSHOT (9mm/Rifle Spectral Peak)
8,0.0929,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
9,0.1045,732.13,GUNSHOT (9mm/Rifle Spectral Peak)
10,0.1161,1335.06,GUNSHOT (9mm/Rifle Spectral Peak)
11,0.1277,689.06,GUNSHOT (9mm/Rifle Spectral Peak)
12,0.1393,215.33,LARGE EXPLOSION (Low Frequency)
13,0.1509,215.33,LARGE EXPLOSION (Low Frequency)
14,0.1625,215.33,LARGE EXPLOSION (Low Frequency)
15,0.1741,215.33,LARGE EXPLOSION (Low Frequency)
16,0.1858,301.46,LARGE EXPLOSION (Low Frequency)
17,0.1974,301.46,LARGE EXPLOSION (Low Frequency)
18,0.2090,301.46,LARGE EXPLOSION (Low Frequency)
19,0.2206,301.46,LARGE EXPLOSION (Low Frequency)
20,0.2322,301.46,LARGE EXPLOSION (Low Frequency)
21,0.2438,301.46,LARGE EXPLOSION (Low Frequency)
22,0.2554,301.46,LARGE EXPLOSION (Low Frequency)
23,0.2670,301.46,LARGE EXPLOSION (Low Frequency)
24,0.2786,301.46,LARGE EXPLOSION (Low Frequency)
25,0.2902,301.46,LARGE EXPLOSION (Low Frequency)
26,0.3019,301.46,LARGE EXPLOSION (Low Frequency)
27,0.3135,301.46,LARGE EXPLOSION (Low Frequency)
28,0.3251,301.46,LARGE EXPLOSION (Low Frequency)
29,0.3367,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
30,0.3483,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
31,0.3599,301.46,LARGE EXPLOSION (Low Frequency)
32,0.3715,6589.16,SHARP CRACK/ASPIRATION (High Frequency)
33,0.3831,6546.09,SHARP CRACK/ASPIRATION (High Frequency)
34,0.3947,6373.83,SHARP CRACK/ASPIRATION (High Frequency)
35,0.4063,6115.43,SHARP CRACK/ASPIRATION (High Frequency)
36,0.4180,6330.76,SHARP CRACK/ASPIRATION (High Frequency)
37,0.4296,301.46,LARGE EXPLOSION (Low Frequency)
38,0.4412,301.46,LARGE EXPLOSION (Low Frequency)
39,0.4528,301.46,LARGE EXPLOSION (Low Frequency)
40,0.4644,301.46,LARGE EXPLOSION (Low Frequency)
41,0.4760,301.46,LARGE EXPLOSION (Low Frequency)
42,0.4876,301.46,LARGE EXPLOSION (Low Frequency)
43,0.4992,301.46,LARGE EXPLOSION (Low Frequency)
44,0.5108,301.46,LARGE EXPLOSION (Low Frequency)
45,0.5224,301.46,LARGE EXPLOSION (Low Frequency)
46,0.5341,301.46,LARGE EXPLOSION (Low Frequency)
47,0.5457,301.46,LARGE EXPLOSION (Low Frequency)
48,0.5573,301.46,LARGE EXPLOSION (Low Frequency)
49,0.5689,301.46,LARGE EXPLOSION (Low Frequency)
50,0.5805,301.46,LARGE EXPLOSION (Low Frequency)
51,0.5921,301.46,LARGE EXPLOSION (Low Frequency)
52,0.6037,172.27,LARGE EXPLOSION (Low Frequency)
53,0.6153,1248.93,GUNSHOT (9mm/Rifle Spectral Peak)
54,0.6269,1205.86,GUNSHOT (9mm/Rifle Spectral Peak)
55,0.6385,215.33,LARGE EXPLOSION (Low Frequency)
56,0.6502,215.33,LARGE EXPLOSION (Low Frequency)
57,0.6618,1248.93,GUNSHOT (9mm/Rifle Spectral Peak)
58,0.6734,1550.39,Ambient/Speech
59,0.6850,1593.46,Ambient/Speech
60,0.6966,1550.39,Ambient/Speech
61,0.7082,1808.79,Ambient/Speech
62,0.7198,990.53,GUNSHOT (9mm/Rifle Spectral Peak)
63,0.7314,258.40,LARGE EXPLOSION (Low Frequency)
64,0.7430,258.40,LARGE EXPLOSION (Low Frequency)
65,0.7546,430.66,Ambient/Speech
66,0.7663,387.60,LARGE EXPLOSION (Low Frequency)
67,0.7779,172.27,LARGE EXPLOSION (Low Frequency)
68,0.7895,258.40,LARGE EXPLOSION (Low Frequency)
69,0.8011,430.66,Ambient/Speech
70,0.8127,258.40,LARGE EXPLOSION (Low Frequency)
71,0.8243,344.53,LARGE EXPLOSION (Low Frequency)
72,0.8359,129.20,LARGE EXPLOSION (Low Frequency)
73,0.8475,129.20,LARGE EXPLOSION (Low Frequency)
74,0.8591,129.20,LARGE EXPLOSION (Low Frequency)
75,0.8707,129.20,LARGE EXPLOSION (Low Frequency)
76,0.8824,129.20,LARGE EXPLOSION (Low Frequency)
77,0.8940,301.46,LARGE EXPLOSION (Low Frequency)
78,0.9056,258.40,LARGE EXPLOSION (Low Frequency)
79,0.9172,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
80,0.9288,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
81,0.9404,172.27,LARGE EXPLOSION (Low Frequency)
82,0.9520,344.53,LARGE EXPLOSION (Low Frequency)
83,0.9636,86.13,FIREWORK/MORTAR (Sub-Bass Thump)
84,0.9752,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
85,0.9868,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
86,0.9985,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
87,1.0101,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
88,1.0217,43.07,FIREWORK/MORTAR (Sub-Bass Thump)
89,1.0333,129.20,LARGE EXPLOSION (Low Frequency)
90,1.0449,172.27,LARGE EXPLOSION (Low Frequency)
